start_station_id,start_station_latitude,start_station_longitude,year
125,42.32176526,-71.10984161,2018
56,42.32854046,-71.08416483,2018
137,42.398365,-71.107818,2018
207,42.35484,-71.150226,2018
36,42.34976701,-71.07732654,2018
29,42.363732,-71.124565,2018
214,42.37407579,-71.03278415,2018
178,42.3595732,-71.10129476,2018
217,42.386781,-71.006098,2018
130,42.31750892,-71.06416626,2018
180,42.37478629,-71.13320231,2018
19,42.347241,-71.105301,2018
21,42.34652004,-71.08065777,2018
15,42.36154571,-71.13776207,2018
170,42.303469,-71.085347,2018
92,42.314507,-71.041269,2018
107,42.3625,-71.08822,2018
95,42.372969,-71.094445,2018
1,42.387151,-71.075978,2018
228,42.36161932,-71.08043551,2018
176,42.38674802,-71.11901879,2018
7,42.35339051,-71.0445714,2018
174,42.34895285,-71.16031677,2018
209,42.379772,-71.027448,2018
161,42.3391085,-71.0514432,2017
30,42.334073,-71.105221,2017
143,42.369885,-71.069957,2017
124,42.309054,-71.11543,2017
145,42.392766,-71.129042,2016
89,42.379011,-71.119945,2017
213,42.36956287,-71.03942692,2017
85,42.378338,-71.048927,2017
73,42.373231,-71.120886,2016
20,42.35977,-71.051601,2017
24,42.351205,-71.043983,2017
108,42.377945,-71.116865,2015
77,42.386844,-71.09812,2017
98,42.371848,-71.060292,2017
219,42.37430132,-71.03808671,2017
67,42.3581,-71.093198,2017
43,42.357143,-71.050699,2016
46,42.343864,-71.085918,2017
95,42.372969,-71.094445,2015
116,42.370803,-71.104412,2016
78,42.379637,-71.095319,2017
80,42.3619622,-71.0920526,2016
70,42.37199165,-71.12226963,2017
105,42.356954,-71.113687,2017
87,42.366621,-71.114214,2016
74,42.373268,-71.118579,2016
215,42.37078455,-71.0442616,2017
56,42.328654,-71.084198,2017
136,42.344796,-71.031614,2018
219,42.37331213,-71.04102008,2018
91,42.366277,-71.09169,2018
169,42.378965,-71.068607,2018
40,42.363871,-71.050877,2018
97,42.36919032,-71.11714125,2018
9,42.35062177,-71.11288219,2018
73,42.373231,-71.120886,2018
222,42.343749,-71.062256,2018
118,42.397828,-71.130516,2018
23,42.35892,-71.057629,2018
146,42.336448,-71.023739,2018
76,42.366426,-71.105495,2018
3,42.34011512,-71.10061884,2018
161,42.3391085,-71.0514432,2018
181,42.38165061,-71.13426981,2018
133,42.310579,-71.107341,2018
102,42.400877,-71.116772,2018
68,42.36507,-71.1031,2018
90,42.370677,-71.076529,2015
116,42.370803,-71.104412,2017
96,42.373379,-71.111075,2016
100,42.396969,-71.123024,2017
16,42.34807412,-71.07657015,2017
93,42.320494,-71.051122,2017
91,42.366277,-71.09169,2015
135,42.344827,-71.028664,2017
17,42.365064,-71.119233,2017
151,42.358155,-71.052163,2017
73,42.373231,-71.120886,2015
84,42.366981,-71.076472,2017
1,42.387151,-71.075978,2016
47,42.362811,-71.056067,2017
95,42.372969,-71.094445,2017
110,42.376369,-71.114025,2016
118,42.397828,-71.130516,2015
75,42.36346469,-71.10057324,2016
195,42.3720597,-71.07202649,2017
189,42.36242784,-71.08495474,2017
130,42.31756858,-71.06403709,2017
210,42.38337842,-71.01612031,2017
117,42.366095,-71.086388,2017
59,42.351356,-71.059367,2017
68,42.36507,-71.1031,2015
159,42.32760387,-71.1108917,2018
59,42.351356,-71.059367,2018
186,42.3481,-71.03764,2018
213,42.369536,-71.039431,2018
190,42.365673,-71.064263,2018
63,42.34404051,-71.05737627,2018
90,42.370677,-71.076529,2018
69,42.341598,-71.123338,2018
6,42.36119942,-71.06519487,2018
171,42.37408991,-71.06905997,2018
162,42.309796,-71.092225,2018
66,42.34922469,-71.13275303,2018
221,42.37250865,-71.11305356,2018
179,42.35560121,-71.10394478,2018
70,42.3722168,-71.12188071,2018
100,42.396969,-71.123024,2018
202,42.30791,-71.080952,2018
200,42.332817,-71.081198,2018
197,42.32143814,-71.09126061,2018
54,42.354979,-71.063348,2017
75,42.36346469,-71.10057324,2017
150,42.344137,-71.052608,2017
33,42.348706,-71.097009,2017
118,42.397828,-71.130516,2017
149,42.363796,-71.129164,2017
97,42.36919032,-71.11714125,2017
117,42.366095,-71.086388,2016
68,42.36507,-71.1031,2017
218,42.3515431,-71.04573011,2017
133,42.310579,-71.107341,2017
88,42.374035,-71.101427,2017
96,42.373379,-71.111075,2017
76,42.366426,-71.105495,2017
142,42.396105,-71.139459,2017
4,42.345392,-71.069616,2017
131,42.32285835,-71.10034391,2017
104,42.380287,-71.125107,2016
15,42.361667,-71.13802,2017
109,42.36588482,-71.06454849,2017
139,42.36178044,-71.10809952,2017
140,42.388966,-71.132788,2015
11,42.338629,-71.1065,2017
121,42.335693,-71.045859,2017
72,42.362613,-71.084105,2016
217,42.38673179,-71.00621223,2017
175,42.34894857,-71.15027189,2017
70,42.371196,-71.121473,2016
20,42.35991176,-71.05142981,2018
24,42.35148193,-71.04436085,2018
26,42.341522,-71.068922,2018
189,42.36242784,-71.08495474,2018
138,42.326599,-71.066498,2018
71,42.383405,-71.107593,2018
98,42.371848,-71.060292,2018
157,42.35317809,-71.04817357,2018
35,42.3558193,-71.0588729,2018
81,42.352409,-71.062679,2018
141,42.36356016,-71.08216792,2016
74,42.373268,-71.118579,2017
178,42.3595732,-71.10129476,2016
51,42.3348756,-71.0790969,2017
177,42.36264779,-71.10006094,2016
146,42.336448,-71.023739,2017
183,42.39558846,-71.14260614,2017
67,42.3581,-71.093198,2016
102,42.400877,-71.116772,2017
91,42.366277,-71.09169,2016
205,42.30791913,-71.06502056,2017
7,42.35328743,-71.04438901,2017
180,42.37478629,-71.13320231,2017
170,42.303469,-71.085347,2017
173,42.310599,-71.053927,2017
176,42.38674802,-71.11901879,2017
44,42.360613,-71.057452,2017
200,42.33282816,-71.08126938,2017
136,42.344796,-71.031614,2017
89,42.379011,-71.119945,2016
174,42.34900494,-71.16041064,2017
163,42.344792,-71.044024,2017
80,42.3619622,-71.0920526,2017
145,42.392766,-71.129042,2017
137,42.398365,-71.107818,2017
116,42.370803,-71.104412,2015
46,42.343864,-71.085918,2016
29,42.363732,-71.124565,2017
143,42.369885,-71.069957,2016
58,42.355596,-71.07278,2017
110,42.376369,-71.114025,2017
119,42.335741,-71.03877,2018
12,42.33624445,-71.08798563,2018
43,42.357143,-71.050699,2018
126,42.315692,-71.098634,2018
183,42.39558846,-71.14260614,2018
30,42.33462893,-71.10407918,2018
82,42.33825427,-71.13905482,2018
105,42.3572185,-71.11387163,2018
25,42.341332,-71.076847,2018
104,42.380287,-71.125107,2018
185,42.36544486,-71.08277142,2018
196,42.31787329,-71.08243078,2018
37,42.35732922,-71.1467354,2018
143,42.369885,-71.069957,2018
212,42.36884408,-71.03977829,2018
225,42.37119728,-71.09759867,2018
142,42.396105,-71.139459,2018
74,42.373268,-71.118579,2018
4,42.345392,-71.069616,2018
121,42.335693,-71.045859,2018
78,42.37980718,-71.0938704,2018
60,42.36075761,-71.0713291,2018
32,42.34519429,-71.10169709,2018
46,42.34366582,-71.08582377,2018
145,42.392766,-71.129042,2018
44,42.360613,-71.057452,2018
115,42.387995,-71.119084,2018
179,42.35560121,-71.10394478,2016
87,42.366621,-71.114214,2017
14,42.337171,-71.102797,2017
152,42.345901,-71.063187,2017
36,42.349673,-71.077303,2016
22,42.352175,-71.055547,2017
97,42.36919032,-71.11714125,2015
32,42.343912,-71.102221,2017
8,42.353334,-71.137313,2017
159,42.3279727,-71.11089706,2017
163,42.344792,-71.044024,2016
105,42.356954,-71.113687,2016
104,42.380287,-71.125107,2015
177,42.36264779,-71.10006094,2017
107,42.3625,-71.08822,2016
65,42.3475,-71.0441,2017
76,42.366426,-71.105495,2015
142,42.396105,-71.139459,2015
150,42.344137,-71.052608,2016
94,42.375603,-71.064608,2017
74,42.373268,-71.118579,2015
143,42.369885,-71.069957,2015
49,42.351146,-71.066289,2017
145,42.392766,-71.129042,2015
39,42.33849279,-71.07401937,2017
140,42.388966,-71.132788,2017
10,42.350406,-71.108279,2017
180,42.37478629,-71.13320231,2016
178,42.3595732,-71.10129476,2017
141,42.36356016,-71.08216792,2017
197,42.321678,-71.091822,2017
108,42.377945,-71.116865,2017
115,42.387995,-71.119084,2015
57,42.340799,-71.081572,2017
49,42.351146,-71.066289,2018
94,42.375603,-71.064608,2018
27,42.331184,-71.095171,2018
205,42.30785224,-71.06512249,2018
160,42.33758601,-71.09627098,2018
42,42.35258344,-71.0676625,2018
85,42.378338,-71.048927,2018
141,42.36356016,-71.08216792,2018
67,42.3581,-71.093198,2018
139,42.36178044,-71.10809952,2018
177,42.36264779,-71.10006094,2018
77,42.386844,-71.09812,2018
124,42.309054,-71.11543,2018
140,42.388966,-71.132788,2018
87,42.366621,-71.114214,2018
8,42.353334,-71.137313,2018
163,42.344792,-71.044024,2018
88,42.374035,-71.101427,2018
173,42.3106,-71.0539,2018
11,42.338629,-71.1065,2018
193,42.33376473,-71.12046447,2018
89,42.379011,-71.119945,2018
150,42.344137,-71.052608,2018
121,42.335693,-71.045859,2016
4,42.345392,-71.069616,2016
105,42.356954,-71.113687,2015
81,42.352409,-71.062679,2017
31,42.348833,-71.041747,2017
196,42.317963,-71.082254,2017
36,42.349673,-71.077303,2017
19,42.347241,-71.105301,2017
87,42.366621,-71.114214,2015
67,42.3581,-71.093198,2015
9,42.351246,-71.115639,2017
80,42.3619622,-71.0920526,2015
107,42.3625,-71.08822,2017
72,42.362613,-71.084105,2017
186,42.34820322,-71.0376513,2017
185,42.36544486,-71.08277142,2017
108,42.377945,-71.116865,2016
126,42.315692,-71.098634,2017
115,42.387995,-71.119084,2017
179,42.35560121,-71.10394478,2017
141,42.36356016,-71.08216792,2015
88,42.374035,-71.101427,2015
89,42.379011,-71.119945,2015
43,42.357143,-71.050699,2017
171,42.37408991,-71.06905997,2017
3,42.340021,-71.100812,2017
218,42.351586,-71.04569256,2018
117,42.366095,-71.086388,2018
151,42.358155,-71.052163,2018
80,42.36213123,-71.09115601,2018
226,42.35154735,-71.12126246,2018
58,42.35554932,-71.07284188,2018
110,42.376369,-71.114025,2018
65,42.34776345,-71.04535997,2018
75,42.36346469,-71.10057324,2018
31,42.34881026,-71.04167744,2018
201,42.316902,-71.091946,2018
33,42.348706,-71.097009,2018
135,42.344827,-71.028664,2018
175,42.34894857,-71.15027189,2018
184,42.35775309,-71.10393405,2018
47,42.362811,-71.056067,2018
116,42.370803,-71.104412,2018
51,42.33509899,-71.07903779,2018
39,42.3385146,-71.07404083,2018
16,42.34807412,-71.07657015,2018
95,42.372969,-71.094445,2016
71,42.383405,-71.107593,2017
110,42.376369,-71.114025,2015
176,42.38674802,-71.11901879,2016
75,42.36346469,-71.10057324,2015
40,42.363871,-71.050877,2017
138,42.326599,-71.066498,2017
6,42.361174,-71.065142,2017
73,42.373231,-71.120886,2017
41,42.352261,-71.123831,2017
12,42.335911,-71.088496,2017
208,42.35048162,-71.16636693,2017
5,42.341814,-71.090179,2017
91,42.366277,-71.09169,2017
63,42.344023,-71.057054,2017
160,42.337596,-71.096391,2017
96,42.373379,-71.111075,2015
84,42.366981,-71.076472,2016
90,42.370677,-71.076529,2016
42,42.35255006,-71.06782079,2017
57,42.34054262,-71.08138848,2018
215,42.370744,-71.044201,2018
10,42.350406,-71.108279,2018
210,42.38337842,-71.01612031,2018
149,42.363796,-71.129164,2018
108,42.377945,-71.116865,2018
232,42.30412793,-71.07929528,2018
152,42.345901,-71.063187,2018
54,42.354979,-71.063348,2018
224,42.38267828,-71.14347895,2018
84,42.366981,-71.076472,2018
131,42.32293117,-71.10014141,2018
72,42.362613,-71.084105,2018
14,42.33741748,-71.10286117,2018
208,42.35057,-71.166491,2018
195,42.3720597,-71.07202649,2018
96,42.373379,-71.111075,2018
192,42.354659,-71.053181,2018
41,42.352261,-71.123831,2018
22,42.352175,-71.055547,2018
17,42.36514363,-71.11987174,2018
93,42.32033974,-71.05118036,2018
182,42.36769018,-71.07116282,2018
117,42.366095,-71.086388,2015
88,42.374035,-71.101427,2016
184,42.35775309,-71.10393405,2017
68,42.36507,-71.1031,2016
23,42.35892,-71.057629,2017
104,42.380287,-71.125107,2017
107,42.3625,-71.08822,2015
115,42.387995,-71.119084,2016
21,42.345959,-71.082578,2017
27,42.331184,-71.095171,2017
201,42.316873,-71.091955,2017
49,42.351146,-71.066289,2016
70,42.371196,-71.121473,2015
16,42.34807412,-71.07657015,2016
118,42.397828,-71.130516,2016
90,42.370677,-71.076529,2017
140,42.388966,-71.132788,2016
37,42.357402,-71.147782,2017
92,42.3139036,-71.0405121,2017
72,42.362613,-71.084105,2015
84,42.366981,-71.076472,2015
119,42.335741,-71.03877,2017
142,42.396105,-71.139459,2016
25,42.341332,-71.076847,2017
190,42.36559771,-71.06424809,2017
76,42.366426,-71.105495,2016
169,42.378965,-71.068607,2017
97,42.36919032,-71.11714125,2016
131,42.32293117,-71.10014141,2019
185,42.36544486,-71.08277142,2019
380,42.36135838,-71.09670274,2019
57,42.34054262,-71.08138848,2019
171,42.37408991,-71.06905997,2019
27,42.331184,-71.095171,2019
63,42.34404051,-71.05737627,2019
181,42.38165061,-71.13426981,2019
116,42.370803,-71.104412,2019
41,42.352261,-71.123831,2019
81,42.352409,-71.062679,2019
258,42.28297568,-71.05466698,2019
219,42.37331213,-71.04102008,2019
102,42.400877,-71.116772,2019
22,42.352175,-71.055547,2019
85,42.378338,-71.048927,2019
364,42.3388956,-71.08149976,2019
206,42.35980252,-71.05960783,2019
4,42.345392,-71.069616,2019
372,42.34958942,-71.07946779,2019
42,42.35256693,-71.06770543,2019
352,42.34827839,-71.08044855,2019
182,42.36769018,-71.07116282,2019
369,42.36254854,-71.05737358,2019
335,42.36599433,-71.09522222,2019
98,42.371848,-71.060292,2019
119,42.335741,-71.03877,2019
184,42.35775309,-71.10393405,2019
66,42.34922469,-71.13275303,2019
360,42.3294633,-71.0901582,2019
71,42.383405,-71.107593,2019
111,42.40449,-71.123413,2019
218,42.351586,-71.04569256,2019
210,42.38353252,-71.01619095,2019
213,42.369536,-71.039431,2019
342,42.34465063,-71.09732501,2019
169,42.378965,-71.068607,2019
377,42.37927325,-71.10341903,2019
33,42.348706,-71.097009,2019
25,42.341332,-71.076847,2019
327,42.37487847,-71.06383499,2019
75,42.36346469,-71.10057324,2019
10,42.350406,-71.108279,2019
49,42.351146,-71.066289,2019
59,42.351356,-71.059367,2019
15,42.36154571,-71.13776207,2019
58,42.35553628,-71.0728687,2019
175,42.34894857,-71.15027189,2019
217,42.386781,-71.006098,2019
350,42.2873611,-71.071111,2019
319,42.3936,-71.143941,2019
176,42.38674802,-71.11901879,2019
67,42.3581,-71.093198,2019
142,42.396105,-71.139459,2019
107,42.3625,-71.08822,2019
6,42.36121165,-71.0653062,2019
76,42.366426,-71.105495,2019
73,42.373231,-71.120886,2019
140,42.388966,-71.132788,2019
31,42.34881026,-71.04167744,2019
13,42.33671641,-71.06880777,2019
349,42.290333,-71.071806,2019
362,42.33023071,-71.05060093,2019
170,42.303469,-71.085347,2019
88,42.374035,-71.101427,2019
174,42.34895285,-71.16031677,2019
346,42.33554308,-71.1506152,2019
235,42.38762811,-71.08318716,2019
104,42.380287,-71.125107,2019
23,42.35892,-71.057629,2019
87,42.366621,-71.114214,2019
124,42.309054,-71.11543,2019
3,42.34011512,-71.10061884,2019
14,42.33741748,-71.10286117,2019
135,42.344827,-71.028664,2019
24,42.35148193,-71.04436085,2019
1,42.387151,-71.075978,2019
340,42.27462067,-71.09372552,2019
374,42.35668335,-71.06166646,2019
180,42.37478629,-71.13320231,2019
12,42.33624445,-71.08798563,2019
138,42.326599,-71.066498,2019
72,42.36224179,-71.08311072,2019
378,42.38032335,-71.10878613,2019
280,42.380857,-71.070629,2019
361,42.34924377,-71.0972821,2019
334,42.39120972,-71.12260755,2019
345,42.35182807,-71.06781138,2019
16,42.34807412,-71.07657015,2019
17,42.36426344,-71.1182757,2019
358,42.38042947,-71.06055722,2019
118,42.397828,-71.130516,2019
236,42.39223284,-71.07746601,2019
348,42.2945833,-71.087111,2019
139,42.36178044,-71.10809952,2019
338,42.34835863,-71.13997217,2019
144,42.36575798,-71.07699394,2019
11,42.338629,-71.1065,2019
193,42.33376473,-71.12046447,2019
8,42.353334,-71.137313,2019
333,42.37500235,-71.14871614,2019
36,42.34993464,-71.07738554,2019
7,42.35339051,-71.0445714,2019
145,42.392766,-71.129042,2019
222,42.343749,-71.062256,2019
337,42.287072,-71.127754,2019
96,42.373379,-71.111075,2019
97,42.36919032,-71.11714125,2019
214,42.37411262,-71.03277501,2019
331,42.33658555,-71.09886996,2019
51,42.33509899,-71.07903779,2019
234,42.3951715,-71.09850592,2019
195,42.37150494,-71.07249312,2019
157,42.35317809,-71.04817357,2019
318,42.3636929,-71.0875672,2019
121,42.335693,-71.045859,2019
152,42.345901,-71.063187,2019
196,42.31787329,-71.08243078,2019
366,42.34278116,-71.05747275,2019
228,42.36161932,-71.08043551,2019
149,42.363796,-71.129164,2019
197,42.32143814,-71.09126061,2019
151,42.358155,-71.052163,2019
232,42.30412793,-71.07929528,2019
183,42.39558846,-71.14260614,2019
109,42.36590788,-71.06446669,2019
30,42.33462893,-71.10407918,2019
159,42.32760387,-71.1108917,2019
54,42.354979,-71.063348,2019
356,42.37412455,-71.054812,2019
100,42.396969,-71.123024,2019
19,42.347241,-71.105301,2019
125,42.32176526,-71.10984161,2019
173,42.3106,-71.0539,2019
108,42.377945,-71.116865,2019
371,42.38078817,-71.15412891,2019
43,42.357143,-71.050699,2019
80,42.36213123,-71.09115601,2019
355,42.38522394,-71.01063069,2019
239,42.39407224,-71.11133695,2019
201,42.316902,-71.091946,2019
150,42.344137,-71.052608,2019
65,42.34776345,-71.04535997,2019
89,42.379011,-71.119945,2019
37,42.35732922,-71.1467354,2019
215,42.370744,-71.044201,2019
344,42.34024645,-71.15168806,2019
74,42.373268,-71.118579,2019
202,42.30791,-71.080952,2019
143,42.369885,-71.069957,2019
70,42.3722168,-71.12188071,2019
224,42.38267828,-71.14347895,2019
221,42.37250865,-71.11305356,2019
179,42.35560121,-71.10394478,2019
367,42.38393225,-71.13961272,2019
379,42.34254914,-71.07421449,2019
40,42.363871,-71.050877,2019
117,42.36616223,-71.08688294,2019
336,42.267902,-71.093641,2019
341,42.28630716,-71.12820532,2019
69,42.341598,-71.123338,2019
229,42.34503316,-71.09664917,2019
91,42.366277,-71.09169,2019
137,42.398365,-71.107818,2019
178,42.3595732,-71.10129476,2019
209,42.379772,-71.027448,2019
191,42.33209606,-71.12845883,2019
317,42.27600499,-71.03924982,2019
9,42.35169202,-71.11903489,2019
332,42.34953017,-71.13022771,2019
136,42.344796,-71.031614,2019
188,42.39108438,-71.09039426,2019
77,42.386844,-71.09812,2019
381,42.37438409,-71.10015746,2019
376,42.3602737,-71.12852452,2019
90,42.370677,-71.076529,2019
39,42.3385146,-71.07404083,2019
29,42.363732,-71.124565,2019
189,42.36242784,-71.08495474,2019
133,42.310579,-71.107341,2019
105,42.3572185,-71.11387163,2019
160,42.33758601,-71.09627098,2019
92,42.314507,-71.041269,2019
177,42.36264779,-71.10006094,2019
21,42.34652004,-71.08065777,2019
46,42.34366582,-71.08582377,2019
203,42.309572,-71.0729,2019
5,42.341814,-71.090179,2019
208,42.35057,-71.166491,2019
86,42.332799,-71.116205,2019
56,42.32854046,-71.08416483,2019
226,42.35154735,-71.12126246,2019
192,42.354659,-71.053181,2019
93,42.32033974,-71.05118036,2019
363,42.34521562,-71.06384031,2019
163,42.344792,-71.044024,2019
225,42.37119728,-71.09759867,2019
296,42.3334,-71.02495,2019
141,42.36356016,-71.08216792,2019
146,42.336448,-71.023739,2019
84,42.366981,-71.076472,2019
68,42.36507,-71.1031,2019
162,42.309796,-71.092225,2019
359,42.3339227,-71.10446509,2019
330,42.38100143,-71.10402523,2019
20,42.35991176,-71.05142981,2019
205,42.30785224,-71.06512249,2019
95,42.372969,-71.094445,2019
115,42.387995,-71.119084,2019
126,42.315692,-71.098634,2019
82,42.3382668,-71.13894682,2019
78,42.37959526,-71.09530799,2019
200,42.332817,-71.081198,2019
212,42.36884408,-71.03977829,2019
365,42.3494261,-71.0620996,2019
94,42.375603,-71.064608,2019
190,42.365673,-71.064263,2019
279,42.306539,-71.107669,2019
370,42.35096144,-71.07782811,2019
373,42.28634589,-71.1367213,2019
161,42.3391085,-71.0514432,2019
26,42.341522,-71.068922,2019
351,42.35276621,-71.15988486,2019
110,42.376369,-71.114025,2019
282,42.316966,-71.104374,2019
